MLS,Property,Status,Type,City,Sold Price,Sold Date,List Price,List Date,Bed,Bath,Kitchen,Tax,year,Floor,Lot,Levels,Parking,Photos,Address,GPS,URL,Agency,Description,Feature,Influence,Amenities
R2695602,4110 - 128 CORDOVA STREET,Active,Apartment,Vancouver,not sold,not sold,"$1,628,000",-,2,2,1,"$4,042 in 2021",2009,"1,166",,-,Garage; Underground,20,4110 - 128 Cordova Street,,https://www.bccondosandhomes.com/listing/r2695602-4110-128-w-cordova-street,TRG The Residential Group Realty,"Gorgeous Air-Conditioned Penthouses #4110 and #4101 on the NorthWest Corner on the 41st floor, overlooking Vancouver's Harbour at the award winning Iconic Woodward's building, can be assembled as one of the most Amazing Penthouses in the City of 2100 sqft or more!! These 2 NW corner Penthouses are side by side and if assembled (subject to strata, city approval) could become over 2,100 sq. ft. Home in ""the Sky"". Absolutely spectacular living space would have 4 parking spots, 4 bdrms and 4 bathrooms Best Views in the city of Vancouver Harbour, North Shore mountains, Lions Gate Bridge, wrap around 270 degrees corner units with 12 Ft ceilings bring lots of light throughout. Maintenance fees include high speed internet, gas, and steam heating.",Air Conditioning ClthWsh/Dryr/Frdg/Stve/DW Drapes/Window Coverings Garage Door Opener Microwave,-, In Suite Laundry Recreation Center Concierge
R2724065,33000 MILL LAKE ROAD,Active,Townhouse,Abbotsford,not sold,not sold,"$999,000",-,3,3,1,"$3,648 in 2022",1984,"2,220",,-,"Garage; Double,Visitor Parking",22,"33000 Mill Lake Rd #11, Abbotsford, BC V2S 2A3, Canada","49.04761, -122.30946",https://www.bccondosandhomes.com/listing/r2724065-11-33000-mill-lake-road,Lighthouse Realty Ltd.,"Executive townhouse located in popular Shoreline Estates fronting on to Mill Lake and Mt. Baker view. Walking distance to Sevenoaks Mall and bus exchange. 220 square feet of luxury with a giant sundeck and gated entrance to Mill Lake walkway. Quality 2x6 construction with brick and just completed, new roof. Daylight oak kitchen, gas fireplace, central air conditioning (needs replacement). Jacuzzi tub in the main bath, spacious laundry room with sink, 2car garage, newly renovated clubhouse with kitchen, sauna, and small gym. Well maintained and nicely landscaped small 20-unit complex. Homes in this complex rarely come up for sale hurry before it's gone.",ClthWsh/Dryr/Frdg/Stve/DW Jetted Bathtub Windows - Thermo,Central Location Private Setting Private Yard Shopping Nearby Waterfront Property, Air Cond./Central Club House Exercise Centre In Suite Laundry Sauna/Steam Room
R2669033,10101 247 STREET,Active,House,Maple Ridge,not sold,not sold,"$1,999,800",-,6,5,1,"$2,474 in 2021",2022,"4,334",4651 SqFt.,-,Garage; Double,0,"10101 247 St, Maple Ridge, BC V2W 0A1, Canada","49.18599, -122.5348",https://www.bccondosandhomes.com/listing/r2669033-10101-247-street,RE/MAX LIFESTYLES REALTY,"""Jackson Ridge"" Amazing view of Fraser River, Vancouver, Coast Mountains including Seymour, Cypress and Grouse. Deluxe 2 storey + fully finished daylight walkout bsmt with wet bar, full bathroom and 2 bedrooms. Features 4 bedrooms on upper floor, with 3 bathrooms up. Master bdrm with covered sundeck and view, ensuite has soaker tub + separate shower. Kitchen pantry and island, quartz counter tops. Great room with gas fireplace, landscaped. Near transit, high and elem schools, parks and trails. Must see!",Garage Door Opener Smoke Alarm Sprinkler - Fire Vacuum - Roughed In Windows - Thermo,Recreation Nearby,-
R2724114,211 - 2551 WILLOW LANE,Active,Apartment,Abbotsford,not sold,not sold,"$300,000",-,,1,-,$938 in 2022,1979,682,,-,Garage; Underground,0,"2551 Willow Ln #211, Abbotsford, BC V2S 5Z9, Canada","49.04842, -122.28398",https://www.bccondosandhomes.com/listing/r2724114-211-2551-willow-lane,Lighthouse Realty Ltd.,"INVESTORS ALERT OR FIRST TIME BUYERS: This is a well maintained building, no restrictions on rental, unit faces south. Possibility of instillation of washer and ventless dryer. Window have been upgraded also balcony railings. Heat is included in strata fees. Property is tenanted.",Dishwasher Refrigerator Stove,Central Location Recreation Nearby Shopping Nearby, Elevator Shared Laundry Storage
R2724092,208 - 210 LEBLEU STREET,Active,Apartment,Coquitlam,not sold,not sold,"$528,800",-,1,1,1,"$1,969 in 2021",2014,605,,-,"Garage; Single,Garage; Underground,Visitor Parking",21,"210 Lebleu St, Coquitlam, BC V3K 4L6, Canada","49.23818, -122.86772",https://www.bccondosandhomes.com/listing/r2724092-208-210-lebleu-street,Sutton Group Seafair Realty,Mackin Park! Well maintained and spacious 1 bedroom apartment over 600 sq. ft. in Maillardville. Full size stainless steel appliances with an open layout kitchen. Laminate floors throughout with carpet in the bedroom. Comes with one parking and one storage. Great location! Shopping and HWY 1 very close by. Great for 1st time home buyers. Pet-friendly and rental allowed. BONUS: PATIO BBQ INCLUDED!,ClthWsh/Dryr/Frdg/Stve/DW Compactor - Garbage Drapes/Window Coverings Garage Door Opener Microwave Smoke Alarm,Central Location Recreation Nearby Shopping Nearby, Elevator Exercise Centre In Suite Laundry Storage
R2716730,7895 HORNE STREET,Active,House,Mission,not sold,not sold,"$898,800",-,2,1,1,"$3,147 in 2022",1954,"1,560",9768 SqFt.,-,"DetachedGrge/Carport,Garage; Single",40,"7895 Horne St, Mission, BC V2V 3Z4, Canada","49.14564, -122.30278",https://www.bccondosandhomes.com/listing/r2716730-7895-horne-street,RE/MAX All Points Realty,"Welcome home to this beautifully maintained two level home sitting on a massive 9700 Sq.Ft. lot! This home has been tastefully updated, perfect for a family looking to enter into the detached market or an investor looking to hold for redevelopment potential, OCP says Multi-Family Attached. Walking distance to parks, Mission leisure centre and schools.  Recent upgraded features include: Driveway 2018, furnace 2013, on-demand hot water heater 2020, windows 2022 and washroom renovations 2020. Call now to book your private appointment!",ClthWsh/Dryr/Frdg/Stve/DW,-,-
R2724009,34744 6TH AVENUE,Active,House,Abbotsford,not sold,not sold,"$1,174,900",-,5,3,2,"$4,479 in 2021",1995,"2,408",7500 SqFt.,-,"Garage; Double,RV Parking Avail.",40,"34744 6 Ave, Abbotsford, BC V2S 8C3, Canada","49.00758, -122.26193",https://www.bccondosandhomes.com/listing/r2724009-34744-6th-avenue,Homelife Advantage Realty (Central Valley) Ltd.,"Perfect Huntington House with Legal Suite! Welcome to a super clean neighborhood with wide streets and big yards! This Bsmt Entry styled home has 5 Beds, 3 Baths. Main house has 3 beds up plus 4th down. Bright kitchen w/ eating area & adjoining family room, vaulted ceilings and gas fireplace, Additionally another Lg Livingroom & dining space. Primary bedroom has full ensuite and walk in closet. New Large covered South facing deck, huge yard. Legal suite, Gas fireplace, private patio area and is super clean. This is on lane access great for RV Parking or build a shop! 2 year old roof & central air Don’t wait to see it!",Air Conditioning ClthWsh/Dryr/Frdg/Stve/DW Pantry Security - Roughed In,Central Location Private Yard Recreation Nearby Shopping Nearby,-
R2720184,1002 GODDARD ROAD,Active,House,Gibsons,not sold,not sold,"$1,049,000",-,3,3,1,"$4,256 in 2022",2018,"1,604",3885 SqFt.,-,Garage; Single,35,"1002 Goddard Rd, Gibsons, BC V0N 1V7, Canada","49.41091, -123.52658",https://www.bccondosandhomes.com/listing/r2720184-1002-goddard-road,RE/MAX City Realty,"Gorgeous, 3 bed, 3 bath, 4-year-old Rancher with primary bedroom on the main floor, and 2 extra bedrooms up, in desirable, walkable Parklands neighbourhood. Open plan great for young families or downsizing in comfort with over 1600 sf of living space. Enjoy privacy in mostly fenced yard, enough for a garden if you like yet still low maintenance, plus roomy garage with room for storage/shop area. Terrific area for walking with trails to the IGA mall & Medical clinic in one direction, and path to community center & Sunnycrest Mall in the other, even a tennis court steps away, and friendly neighbours! All upgrades chosen including higher-end gas range & appliance package, vinyl plank flooring, and spacious stand-alone shower in Master ensuite. ",ClthWsh/Dryr/Frdg/Stve/DW,Central Location Marina Nearby Private Setting Private Yard Recreation Nearby Shopping Nearby,-
R2724112,118 - 8611 GENERAL CURRIE ROAD,Active,Apartment,Richmond,not sold,not sold,"$538,000",-,1,1,1,"$1,281 in 2022",1989,732,,-,Garage Underbuilding,0,"8611 General Currie Rd #118, Richmond, BC V6Y 3W4, Canada","49.15965, -123.12834",https://www.bccondosandhomes.com/listing/r2724112-118-8611-general-currie-road,Sutton Group Seafair Realty,"Wow! Nicer than new is this fabulous one bedroom home with a HUGE 315 sq ft west facing patio. Recently renovated, you will love the cool new kitchen with tons of cabinets & counter space, stainless steel appliances & live edge bar top. Luxury vinyl laminate floors, cozy gas fireplace with lovely surround mantel & beautiful bright designer decor throughout. At 732 sq ft the Master Suite is generous with a walk-thru closet & cheater en-suite. Don't miss this one - it won't last.",ClthWsh/Dryr/Frdg/Stve/DW Garage Door Opener Microwave,Cul-de-Sac Recreation Nearby Shopping Nearby, Elevator Storage
R2693871,480 6TH AVENUE,Active,House,Hope,not sold,not sold,"$557,500",-,4,3,1,"$2,746 in 2021",1972,"2,035",6500 SqFt.,-,Garage; Single,40,480 6TH Avenue,,https://www.bccondosandhomes.com/listing/r2693871-480-6th-avenue,RE/MAX Nyda Realty (Hope),"Great potential here. A $10,000 flooring allowance will be credited to the buyer upon completion. This flooring allowance could make this an incredible 5 bedroom/3 bathroom home! Reduced $191,500 from the original price. Home could use some updating to increase value. In autumn 2021, with energy efficiency in mind, the owner installed an new furnace and upgraded the attic insulation to reduce heating costs. You can watch your kids walk to school that is right across the street. Secondary school is only one block away. This home is a nice corner lot with potential to develop. Home has ensuite master bedroom and if creative an in law suite could be put in. Quick possession is not a problem.",Drapes/Window Coverings,-,-
R2723889,12664 99 AVENUE,Active,House,Surrey,not sold,not sold,"$2,879,000",-,9,8,3,"$7,737 in 2022",2015,"6,329",8080 SqFt.,-,Garage; Double,20,"12664 99 Ave, Surrey, BC V3V 2P7, Canada","49.1821, -122.87171",https://www.bccondosandhomes.com/listing/r2723889-12664-99-avenue,Century 21 Coastal Realty Ltd.,"This 3 level and 6329 Sqft. home offers a comfortable and luxurious lifestyle! Upper floor has 4 bedrooms all with their own full ensuite. There is a built-in AC, radiant heating, and a home theater & bar! The 2 bedroom legal suite and bachelor suite in the basement area is a great mortgage helper. Very convenient location! Just a 2 minute walk to Robson Park and 3 minute drive to Cedar Hills Plaza. Showings done via appointment, offers reviewed as they come.",Air Conditioning ClthWsh/Dryr/Frdg/Stve/DW Drapes/Window Coverings Jetted Bathtub Security System Storage Shed,Central Location Private Setting Recreation Nearby Shopping Nearby, Air Cond./Central In Suite Laundry
R2724038,618 JACKSON AVENUE,Active,Townhouse,Vancouver,not sold,not sold,"$1,749,900",-,4,3,2,"$3,707 in 2022",1909,"2,073",,-,None,39,"618 Jackson Ave, Vancouver, BC V6A 3B7, Canada","49.27921, -123.09345",https://www.bccondosandhomes.com/listing/r2724038-618-jackson-avenue,RE/MAX All Points Realty,"Come and view this Classically beautiful 4 bed 2.5 bath townhouse including 1 bed 1 bath basement Mortgage helper! Stylishly renovated in 2018 included full kitchen upgraded and top two bathrooms, it keeps all of the old world charm and brings it forward to modernity. New appliances include Fisher Paykel and Electrolux washer/dryer also updated in 2018. The rooftop with included BBQ and furniture is the perfect space to entertain or relax with wonderful views of the city. The interior offers lots of cabinet space, a large kitchen with quartz countertops and stylishly updated lighting fixtures. Extremely convenient location close to downtown and the vibrant strathcona area. Proactive small strata. Street parking readily available.",ClthWsh/Dryr/Frdg/Stve/DW Drapes/Window Coverings Free Stand F/P or Wdstove Storage Shed,Central Location Shopping Nearby, Garden In Suite Laundry Storage
R2724108,1102 - 4118 DAWSON STREET,Active,Apartment,Burnaby,not sold,not sold,"$798,000",-,2,2,1,"$1,892 in 2022",2006,887,,-,Garage; Underground,32,"4118 Dawson St #1102, Burnaby, BC V5C 0A3, Canada","49.26402, -123.01353",https://www.bccondosandhomes.com/listing/r2724108-1102-4118-dawson-street,Engel & Volkers Vancouver,"Tastefully renovated 2 bed 2 bath suite with practical floor plan (no wasted space) at Tandem! Located at Brentwood Town Center. Great building, central location blocks to the new Brentwood Entertainment center, whole foods, restaurants, shopping, and across from Gilmore sky train. From here you are connected via Skytrain to downtown Vancouver, Coquitlam, Metrotown, New West, Surrey, Richmond, and the airport. Beautiful open kitchen concept with stainless steel appliances, granite counters, and laminate floors throughout this bright and well-designed home. Amenities include gym facilities, sauna, hot tub, pool table room, party room, secured parking & storage. PETS AND RENTALS ARE ALLOWED.",ClthWsh/Dryr/Frdg/Stve/DW,Central Location Recreation Nearby Shopping Nearby, Elevator Exercise Centre In Suite Laundry Sauna/Steam Room Storage
R2723973,45167 RAVEN PLACE,Active,House,Sardis,not sold,not sold,"$809,000",-,3,2,1,"$3,570 in 2022",1988,"1,571",7492 SqFt.,-,"Garage; Double,Open",2,"45167 Raven Pl, Chilliwack, BC V2R 2X1, Canada","49.13419, -121.97487",https://www.bccondosandhomes.com/listing/r2723973-45167-raven-place,Team 3000 Realty Ltd.,"Come see this lovely home in desirable Sardis. This well-maintained rancher is situated on a large corner lot, south facing. The master bedroom is very spacious with a large walk-in closet. The kitchen and family room have an open concept with access to the patio via french doors. This home has central air to keep you cool in the summers and a lovely gas fireplace to keep you cozy in the winter. The home comes with a sturdy well kept garden shed situated in a very large backyard. Don't miss this great opportunity to live in a beautiful part of heaven.",Air Conditioning ClthWsh/Dryr/Frdg/Stve/DW Storage Shed Vacuum - Built In,Central Location Cul-de-Sac Private Yard Recreation Nearby Shopping Nearby, Air Cond./Central
R2723979,7938 209 STREET,Active,Townhouse,Langley,not sold,not sold,"$949,900",-,4,3,1,"$3,811 in 2022",2011,"1,684",,-,"Garage; Single,Open",37,10 - 7938 209 Street,,https://www.bccondosandhomes.com/listing/r2723979-10-7938-209-street,Royal LePage West Real Estate Services,"A RARE FIND! Two storey CORNER townhome built by Polygon located in the popular Red Maple Park.It feels like a house w/ 4 bdrms,3 full baths, a covered front entry, large foyer & tons of windows throughout.Situated in a private location w/ a large fully fenced yard. Open design w/ updated laminate flooring, cozy fireplace & FRENCH DOORS to the yard area.Kitchen features a centre island, stainless appliances, new backsplash & lots of cabinets.BONUS bdrm & full bath on the main floor, 3 bdrms upstairs inc.the Master suite, w/in closet & 5pc ensuite. Updated carpets, Quartz counters thruout, new light fixtures,fresh paint, most appls.,2""blinds, b/i speakers 7 HW tank.The complex features a RESORT style clubhouse, rec centre,outdoor pool, guest suite & more.Wheelchair access too!",ClthWsh/Dryr/Frdg/Stve/DW Drapes/Window Coverings Security System,Central Location Private Setting Private Yard Recreation Nearby Shopping Nearby, Club House Exercise Centre Guest Suite Playground Pool; Outdoor Recreation Center Swirlpool/Hot Tub
R2723743,45918 KNIGHT ROAD,Active,House,Chilliwack,not sold,not sold,"$484,500",-,2,2,1,"$2,314 in 2022",1999,"1,248",3840 SqFt.,-,Garage; Double,26,"45918 Knight Rd #43, Chilliwack, BC V2R 3X4, Canada","49.13806, -121.95411",https://www.bccondosandhomes.com/listing/r2723743-43-45918-knight-road,HomeLife Advantage Realty Ltd,"The RIGHT PLACE AT THE RIGHT TIME!! in this 1248sq ft stick blt framed home in Popular Country Park (Gated 45 plus Community).Enjoy the comforts of:2 Bdrms, 2 Bathrms, Family room, heated 16' X 9'workshop & LRG Flex room off the breezeway with double 18' X 19' garage. Enjoy the open plan, vaulted ceilings, 3 sided N/G F/P, central air, D/W (2021), 30 yr roof (2016), H2O tank 2020, Fridge (2019). Kitchen has skylight, Blt in Pantry, centre breakfast bar with cabinets, neutral paint tones too. Enjoy the outdoor patio, easy care fenced backyard on a corner lot at the back of the Complex. Have fun in the big clubhouse playing, pool, shuffleboard, darts, T.V., ping pong etc...it has 2 guest suites, kitchen, gas F/P and lovely waterfall/ponds, gazebo and gardens. RV parking upon availability...",ClthWsh/Dryr/Frdg/Stve/DW Drapes/Window Coverings Storage Shed,Adult Oriented Central Location Gated Complex Recreation Nearby Shopping Nearby, Club House Guest Suite Recreation Center
R2722442,104A - 3043 270 STREET,Active,Apartment,Langley,not sold,not sold,"$370,000",-,1,1,1,"$1,758 in 2022",1981,485,,-,Open,32,104A - 3043 270 Street,,https://www.bccondosandhomes.com/listing/r2722442-104a-3043-270-street,RE/MAX Treeland Realty,"Great Opportunity to own your a home in Langley! Fantastic opportunity to get into the market, or for an investor. Rentals allowed. Feels like a townhome with its own private entry - no need to go through the lobby! ark your car right in front of the unit. In-suite laundry, 10' Ceilings and your own Separate entrance & front door. Enjoy your HUGE fenced in patio are for entertaining. Situated directly across the street from Aldergrove Recreation Center. 2 Cats allowed. Super Low Maintenance Fees. Amazing opportunity here!",ClthWsh/Dryr/Frdg/Stve/DW,Central Location Recreation Nearby Shopping Nearby, Elevator In Suite Laundry Storage
R2722512,8 GLENMORE DRIVE,Active,Townhouse,West Vancouver,not sold,not sold,"$999,000",-,2,2,1,"$3,394 in 2021",1957,"1,390",,-,Carport; Single,40,8 Glenmore Drive,,https://www.bccondosandhomes.com/listing/r2722512-8-glenmore-drive,Engel & Volkers Vancouver,"Lovely half-duplex style townhome in prime upper British Properties location. Nestled in a park-like setting in 4 unit development, this charming 2 bedroom 1.5 bathroom home is ready for your new design ideas. With a mid-century appeal + h/w floors, the main floor boasts an expansive living / dining area w beautiful brick wood fireplace, that leads out to a lrg wood deck + grassed yard, corner kitchen + half bath. Upstairs features great large primary bedroom w walk-in closet + balcony, terrific 2nd bedroom w massive roof deck (perfect for entertaining, BBQ), and full bathroom. Downstairs = den / family room + utility room, & lrg crawl space (tons of storage). 2 parking (assigned outside + carport), 1 storage room. New Roof in 2011. No strata fees. OPEN SUNDAY 2-4pm (Sept 18)",ClthWsh/Dryr/Frdg/Stve/DW,Golf Course Nearby Lane Access Private Setting Private Yard Treed, Garden In Suite Laundry
R2724107,516 - 6900 PEARSON WAY,Active,Apartment,Richmond,not sold,not sold,"$1,068,800",-,3,2,1,"$2,932 in 2021",2020,"1,116",,-,Garage Underbuilding,0,"6900 Pearson Wy #516, Richmond, BC V7C 0B3, Canada","49.17469, -123.14759",https://www.bccondosandhomes.com/listing/r2724107-516-6900-pearson-way,Royal Pacific Riverside Realty Ltd.,-,Air Conditioning ClthWsh/Dryr/Frdg/Stve/DW Microwave Oven - Built In,Central Location Recreation Nearby Shopping Nearby, Air Cond./Central Club House Elevator Exercise Centre Garden Recreation Center Concierge
R2723298,7610 EVANS ROAD,Active,Duplex,Chilliwack,not sold,not sold,"$349,900",-,2,2,1,,1990,"1,064",,-,"Garage; Single,RV Parking Avail.,Visitor Parking",33,"7610 Evans Rd #132, Chilliwack, BC V2R 2Z5, Canada","49.13425, -121.97762",https://www.bccondosandhomes.com/listing/r2723298-132-7610-evans-road,Royal Lepage Wheeler Cheam,"Cottonwood Retirement Village. TURN KEY … Just move IN! STUNNING 1064 SQFT home with 2 Beds, 2 Baths, Spacious White Kitchen with SS Appliances. FULL RENOVATION in 2019 Flooring, Kitchen Cabinets, Countertops, Light Fixtures, Paint, Trim, Both Baths, Doors & Windows, Single Garage. Sliding glass doors off of the living room lead to a good size Patio. Beautiful flower beds on the side of the home. Low monthly fee of $260 INCLUDES Gardening, Management, Garbage p/u, Water, Sewer, Snow Removal & TAXES. Age restriction of 55+, 1 cat or 1 dog with size restriction of 15"" and no rentals allowed.",ClthWsh/Dryr/Frdg/Stve/DW Drapes/Window Coverings Garage Door Opener,Adult Oriented Central Location Golf Course Nearby Recreation Nearby Retirement Community Shopping Nearby, Club House In Suite Laundry Wheelchair Access
R2724087,31445 JEAN COURT,Active,House,Abbotsford,not sold,not sold,"$1,288,000",-,4,4,1,"$4,514 in 2021",1994,"3,298",7120 SqFt.,-,Garage; Double,40,"31445 Jean Ct, Abbotsford, BC V2T 5N9, Canada","49.05885, -122.35377",https://www.bccondosandhomes.com/listing/r2724087-31445-jean-court,Royal LePage Fairstone Realty.,"Ver neat and clean 3 story home in West Abbotsford comes with all the needed features. This fully renovated house has has 5 Bedrooms out of which 1 bedroom can be used as a games room or a rec room along with 2 full baths upstairs. Main floor has a spacious living room, dining, open kitchen concept layout and a family room along with a bedroom (which can be used as a den or office space) and a half bathroom. The basement area is very spacious and bright. It has a huge private backyard setting and a sundeck. This property is located near 'cul-de-sac' and it's on a 'no thru road'. Close to all levels of Schools, shopping, cineplex, mall, public transit and Hwy 1. Vacant.",-,Central Location Cul-de-Sac Private Yard Recreation Nearby Shopping Nearby,-
R2716900,118 DUNSMUIR STREET,Active,Townhouse,Vancouver,not sold,not sold,"$998,000",-,1,2,1,"$2,639 in 2021",2013,837,,-,Carport & Garage,3,"118 Dunsmuir St, Vancouver, BC V6B 1X6, Canada","49.28044, -123.11165",https://www.bccondosandhomes.com/listing/r2716900-118-dunsmuir-street,Macdonald Commercial Real Estate Services Ltd.,-,ClthWsh/Dryr/Frdg/Stve/DW Microwave Refrigerator Vaulted Ceiling,Central Location, Bike Room Club House Elevator Exercise Centre In Suite Laundry Pool; Indoor Swirlpool/Hot Tub
R2716998,6 - 32828 LANDEAU PLACE,Active,Apartment,Abbotsford,not sold,not sold,"$499,999",-,1,2,1,"$2,431 in 2022",2021,"1,029",,-,Garage; Underground,29,6 - 32828 Landeau Place,,https://www.bccondosandhomes.com/listing/r2716998-6-32828-landeau-place,RE/MAX All Points Realty,"Welcome to The Court Living. This spacious one-bedroom plus den loft is located in the heart of Abbotsford. This loft features 1,029 SF with the main living on the upper floor and den/flex space plus powder room on the lower level. This condo features a massive 337 SF outdoor area with private street access to the home and direct access to underground parking. This loft condo comes with two secured parking side by side stalls, a storage locker and a secured resident bicycle room. EV chargers are available too! Reach out to view!",ClthWsh/Dryr/Frdg/Stve/DW Drapes/Window Coverings Garage Door Opener Microwave Vaulted Ceiling,Central Location Paved Road Private Setting Private Yard Recreation Nearby Shopping Nearby, Club House Elevator In Suite Laundry Storage
R2723956,50801 O'BYRNE ROAD,Active,Mobile,Columbia Valley,not sold,not sold,"$149,900",-,2,1,1,$284 in 2022,1971,"1,174",,-,Open,37,4 - 50801 O'byrne Road,,https://www.bccondosandhomes.com/listing/r2723956-4-50801-obyrne-road,Century 21 Creekside Realty,"Peaceful, quiet location steps to Chilliwack River! Spacious 2 bedroom manufactured home with add-ons in 45+ mobile home park with low pad rent. Your new home offers a large living, dining and kitchen area with lots of windows. 3 bedrooms and bathroom with large soaker tub. Newer roof, new furnace and new hot water tank! RV parking, and Boat Parking. Great retirement home or secondary home that backs onto forested space, nicely fenced side yard. If you're looking for a secluded home close to nature and amazing fishing, this is it!",Clothes Dryer Clothes Washer Free Stand F/P or Wdstove Refrigerator Stove,-,-
R2716538,2601 - 1188 PENDER STREET,Active,Apartment,Vancouver,not sold,not sold,"$1,499,000",-,2,2,1,"$3,202 in 2022",2008,"1,010",,-,Garage Underbuilding,15,2601 - 1188 Pender Street,,https://www.bccondosandhomes.com/listing/r2716538-2601-1188-w-pender-street,Regent Park Fairchild Realty Inc.,"Welcome to ""The Sapphire"", located in Vancouver's premier Coal Harbour neighborhood. This 2 bedroom plus den suite, sized at 1010 sf, enjoys beautiful NW corner unit! Stunning North Shore mountains, ocean, city and Stanley park views! Gourmet open kitchen w/ granite countertops and Bosch S/S appliances. Building has concierge, sauna, gym & media room. Steps away from coffee shops, restaurants and shopping Centre and walk to Stanley Park and Robson Street. 1 parking and 1 locker.",ClthWsh/Dryr/Frdg/Stve/DW Drapes/Window Coverings,Central Location Shopping Nearby, Elevator Exercise Centre In Suite Laundry Sauna/Steam Room Swirlpool/Hot Tub Concierge
R2722561,3-3 - 550 BEATTY STREET,Active,Apartment,Vancouver,not sold,not sold,"$1,965,500",-,1,2,1,"$4,036 in 2021",1906,"1,900",,-,Other,40,"550 Beatty St #1, Vancouver, BC V6B 2L3, Canada","49.28029, -123.10941",https://www.bccondosandhomes.com/listing/r2722561-33-550-beatty-street,RE/MAX Crest Realty,"Welcome to a stunning heritage loft in FIVE FIFTY Beatty; a taste of New York-style loft living in downtown Vancouver. Homes in this unique, proactive strata rarely come available. This one level, nearly 2,000 square foot loft boasts wall-to-wall and floor-to-ceiling windows, an expansive chef’s kitchen, solid oak plank floors, exposed brick, and fir beams. The primary bedroom is oversized, with a generous walk-in closet, spa-like bath. There is space for a home office. This unit has a large storage locker in the basement, gated parking across the street, and access to a shared rooftop patio. Live in the heart of Crosstown. SkyTrain, Rogers Arena, BC Place, Costco are within walking distance. Chambar, the Devil’s Elbow, Jam Café, and Dirty Apron are in the same block. Pets allowed with res",-,Central Location Recreation Nearby Shopping Nearby,-
R2721489,607 - 680 SEYLYNN CRESCENT,Active,Apartment,North Vancouver,not sold,not sold,"$999,000",-,2,3,-,"$4,247 in 2022",2018,"1,360",,-,"Garage; Underground,Visitor Parking",29,"680 Seylynn Cres #607, North Vancouver, BC V7J 1H9, Canada","49.31247, -123.03196",https://www.bccondosandhomes.com/listing/r2721489-607-680-seylynn-crescent,Royal LePage Sussex,"Rarely available, beautiful townhouse-like condo, These unique and well designed homes feature entries from both the 5th and 6th floors. This 2 LEVEL, 2 bed, 3 bath, flex room & den home with 1,360 sqft of living space offering ample space and privacy with townhome feel including a massive 200 sqft DECK with WEST exposure overlooking Seylynn Park.The living and entertainment space is located on the main floor, featuring an oversized balcony overlooking beautiful Seylynn Park, and, modern kitchen w beautiful cabinets, quartz counters, large island, high-end s/s appl. & fixtures, gas cooktop, and a powder room as well.The lower floor includes two bedrooms, and two bathrooms and the master bedroom showcases an en-suite with spa like features and den.",Air Conditioning ClthWsh/Dryr/Frdg/Stve/DW Drapes/Window Coverings Garage Door Opener Microwave Sprinkler - Fire,Golf Course Nearby Marina Nearby Recreation Nearby Shopping Nearby Ski Hill Nearby, Air Cond./Central Elevator Exercise Centre In Suite Laundry Pool; Indoor Storage
R2723761,2119 YEW STREET,Active,Townhouse,Vancouver,not sold,not sold,"$1,099,000",-,2,2,1,"$2,728 in 2022",2001,900,,-,Garage; Underground,25,"2119 Yew St #103, Vancouver, BC V6K 3G6, Canada","49.26688, -123.15555",https://www.bccondosandhomes.com/listing/r2723761-103-2119-yew-street,Dexter Realty,"Welcome home! This bright corner unit boasts a large garden patio, south facing dun deck, private entrance, insuite laundry, underground parking and storage locker. Boutique style 12 suite rain-screened building nestled in the heart of Kits is pet & rental friendly, efficient open floor plan including a cozy gas fireplace. Amazing convenient location steps to shops, restaurants and all 4th Ave. has to offer. Showings are limited so call your realtor to book a private showing.",ClthWsh/Dryr/Frdg/Stve/DW,Central Location Recreation Nearby Shopping Nearby, In Suite Laundry
R2724046,101 - 4171 CAMBIE STREET,Active,Apartment,Vancouver,not sold,not sold,"$888,800",-,1,1,-,"$2,197 in 2022",2019,719,,-,Garage Underbuilding,23,"4171 Cambie St #101, Vancouver, BC V5Z 2Y2, Canada","49.24798, -123.11573",https://www.bccondosandhomes.com/listing/r2724046-101-4171-cambie-street,88West Realty,"This stunning ground level unit boasts airy 9´ceilings, a smart layout and its own private courtyard-facing patio. This ground level, one bedroom plus den is 719 sq ft of spacious living space. Featuring central A/C, solid concrete construction, Bosch appliance package, Quartz countertops, safe underground parking and storage locker. Centrally located in the Cambie Corridor just steps away from King Edward Canada Line Skytrain and Queen Elizabeth Park. Enjoy great amenities with your own party room, roof top bbq playground and community garden.",-,-, Air Cond./Central Elevator In Suite Laundry Storage
